booking_id,passenger_id,flight_id,booking_date,status,seat_number,status_quality_flag,passport_number_hash,emergency_contact_phone_masked,emergency_contact_name_masked
B1000,SP0001,AI192,2025-06-14 11:37:36.951,CANCELLED,3D,OK,721ffddc6fc3cfc1,+91-********01,C.
B1001,SP0001,6F026,2025-11-02 11:37:36.951,CANCELLED,18A,OK,b0acd936bf201d68,+91-********02,C.
B1002,SP0085,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,OK,8d8bfaa0f077d07a,+91-********03,C.
B1003,SP0001,AI069,2025-12-30 11:37:36.951,CONFIRMED,33A,OK,4c1cae03cb138e48,+91-********04,C.
B1004,SP0001,UK003,2025-10-02 11:37:36.951,PENDING,25C,OK,64306ad6d38617dc,+91-********05,C.
B1005,SP0001,AI048,2025-08-31 11:37:36.951,CONFIRMED,13D,OK,25775a1af3c1e578,+91-********06,C.
B1006,SP0001,AI140,2025-06-29 11:37:36.951,CANCELLED,17F,OK,df35fd1c59cff60b,+91-********07,C.
B1007,SP0001,UK167,2026-03-12 11:37:36.951,CONFIRMED,22E,OK,280e6b9468e0fe23,+91-********08,C.
B1008,SP0001,AI245,2025-09-07 11:37:36.951,PENDING,34F,OK,823b2afef21c376f,+91-********09,C.
B1009,SP0001,SJ158,2025-04-28 11:37:36.951,CANCELLED,33C,OK,3da672cb2150314b,+91-********10,C.
B1010,SP0001,AI155,2025-11-24 11:37:36.951,CONFIRMED,15B,OK,d869a65a4ee48ea9,+91-********11,C.
B1011,SP0094,AI179,2025-10-25 11:37:36.951,CONFIRMED,22C,OK,bfa6fe1c34feae80,+91-********12,C.
B1012,SP0001,AI137,2025-08-15 11:37:36.951,PENDING,28B,OK,ae6e21545a0fecc2,+91-********13,C.
B1013,SP0001,SJ001,2025-07-20 11:37:36.951,CONFIRMED,26E,OK,4c2fc8d7fa9226f8,+91-********14,C.
B1014,SP0001,SJ172,2025-09-15 11:37:36.951,PENDING,21E,OK,49fb40bf4af79ea6,+91-********15,C.
B1015,SP0001,UK094,2025-10-21 11:37:36.951,UNKNOWN,6F,IMPUTED_UNKNOWN_STATUS,3bcde5eff9a97111,+91-********16,C.
B1016,SP0001,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,OK,74865708fe70665f,+91-********17,C.
B1017,SP0166,UK067,2026-04-04 11:37:36.951,CONFIRMED,13B,OK,e0a51ea478c6898e,+91-********18,C.
B1018,SP0014,6F196,2026-03-25 11:37:36.951,CANCELLED,19B,OK,379c9bdaa6a0111e,+91-********19,C.
B1019,SP0001,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,OK,baea5f617d56b54b,+91-********20,C.
B1020,SP0001,SJ112,2025-12-06 11:37:36.951,CONFIRMED,27B,OK,d6c6a71e216a5f30,+91-********21,C.
B1021,SP0001,6F190,2025-12-07 11:37:36.951,CANCELLED,4E,OK,eb286ae521feaafe,+91-********22,C.
B1022,SP0074,AI080,2026-03-25 11:37:36.951,CONFIRMED,16F,OK,0acfc460485d6c55,+91-********23,C.
B1023,SP0001,6F213,2026-02-03 11:37:36.951,PENDING,24B,OK,829e4153f890a524,+91-********24,C.
B1024,SP0001,AI115,2025-06-21 11:37:36.951,PENDING,30F,OK,e312f4b1f12c7a47,+91-********25,C.
B1025,SP0001,SJ049,2026-03-18 11:37:36.951,PENDING,1B,OK,efd650f6d3ca8489,+91-********26,C.
B1026,SP0001,AI058,2025-06-27 11:37:36.951,CONFIRMED,32C,OK,4c636171f83ab84d,+91-********27,C.
B1027,SP0001,UK036,2025-07-25 11:37:36.951,CONFIRMED,22A,OK,9ca440bda3e8a039,+91-********28,C.
B1028,SP0001,SJ239,2025-05-25 11:37:36.951,CANCELLED,26E,OK,198d491c68610159,+91-********29,C.
B1029,SP0001,6F025,2025-06-06 11:37:36.951,CANCELLED,19C,OK,ede8e663710775b7,+91-********30,C.
B1030,SP0001,6F236,2026-03-18 11:37:36.951,CANCELLED,21E,OK,ada2e2682d52cbff,+91-********31,C.
B1031,SP0001,AI060,2025-11-16 11:37:36.951,CANCELLED,1E,OK,b3510d81bab60e79,+91-********32,C.
B1032,SP0001,UK021,2025-09-03 11:37:36.951,CANCELLED,18E,OK,67c6c0d6bf58417e,+91-********33,C.
B1033,SP0001,UK026,2025-05-06 11:37:36.951,UNKNOWN,19A,IMPUTED_UNKNOWN_STATUS,672590dbd1a38e2e,+91-********34,C.
B1034,SP0001,SJ179,2025-12-31 11:37:36.951,CONFIRMED,22F,OK,b7558ac0b96d396b,+91-********35,C.
