booking_id,passenger_id,flight_key,flight_id,booking_date,status,status_quality_flag,seat_number,passport_number_hash,emergency_contact_name_masked,emergency_contact_phone_masked
B1000,SP0001,FK00005,AI192,2025-06-14 11:37:36.951,CANCELLED,OK,3D,721ffddc6fc3cfc1,C.,+91-********01
B1001,SP0001,FK00012,6F026,2025-11-02 11:37:36.951,CANCELLED,OK,18A,b0acd936bf201d68,C.,+91-********02
B1002,SP0085,FK00001,SJ010,2025-08-25 11:37:36.951,CANCELLED,OK,30C,8d8bfaa0f077d07a,C.,+91-********03
B1003,SP0001,FK00015,AI069,2025-12-30 11:37:36.951,CONFIRMED,OK,33A,4c1cae03cb138e48,C.,+91-********04
B1004,SP0001,FK00029,UK003,2025-10-02 11:37:36.951,PENDING,OK,25C,64306ad6d38617dc,C.,+91-********05
B1005,SP0001,FK00020,AI048,2025-08-31 11:37:36.951,CONFIRMED,OK,13D,25775a1af3c1e578,C.,+91-********06
B1006,SP0001,FK00017,AI140,2025-06-29 11:37:36.951,CANCELLED,OK,17F,df35fd1c59cff60b,C.,+91-********07
B1007,SP0001,FK00013,UK167,2026-03-12 11:37:36.951,CONFIRMED,OK,22E,280e6b9468e0fe23,C.,+91-********08
B1008,SP0001,FK00004,AI245,2025-09-07 11:37:36.951,PENDING,OK,34F,823b2afef21c376f,C.,+91-********09
B1009,SP0001,FK00006,SJ158,2025-04-28 11:37:36.951,CANCELLED,OK,33C,3da672cb2150314b,C.,+91-********10
B1010,SP0001,FK00002,AI155,2025-11-24 11:37:36.951,CONFIRMED,OK,15B,d869a65a4ee48ea9,C.,+91-********11
B1011,SP0094,FK00038,AI179,2025-10-25 11:37:36.951,CONFIRMED,OK,22C,bfa6fe1c34feae80,C.,+91-********12
B1012,SP0001,FK00011,AI137,2025-08-15 11:37:36.951,PENDING,OK,28B,ae6e21545a0fecc2,C.,+91-********13
B1013,SP0001,FK00042,SJ001,2025-07-20 11:37:36.951,CONFIRMED,OK,26E,4c2fc8d7fa9226f8,C.,+91-********14
B1014,SP0001,FK00024,SJ172,2025-09-15 11:37:36.951,PENDING,OK,21E,49fb40bf4af79ea6,C.,+91-********15
B1015,SP0001,FK00003,UK094,2025-10-21 11:37:36.951,UNKNOWN,IMPUTED_UNKNOWN_STATUS,6F,3bcde5eff9a97111,C.,+91-********16
B1016,SP0001,FK00014,UK027,2026-01-13 11:37:36.951,CANCELLED,OK,6A,74865708fe70665f,C.,+91-********17
B1017,SP0166,FK00032,UK067,2026-04-04 11:37:36.951,CONFIRMED,OK,13B,e0a51ea478c6898e,C.,+91-********18
B1018,SP0014,FK00007,6F196,2026-03-25 11:37:36.951,CANCELLED,OK,19B,379c9bdaa6a0111e,C.,+91-********19
B1019,SP0001,FK00022,6F164,2025-07-31 11:37:36.951,CANCELLED,OK,19A,baea5f617d56b54b,C.,+91-********20
B1020,SP0001,FK00021,SJ112,2025-12-06 11:37:36.951,CONFIRMED,OK,27B,d6c6a71e216a5f30,C.,+91-********21
B1021,SP0001,FK00049,6F190,2025-12-07 11:37:36.951,CANCELLED,OK,4E,eb286ae521feaafe,C.,+91-********22
B1022,SP0074,FK00008,AI080,2026-03-25 11:37:36.951,CONFIRMED,OK,16F,0acfc460485d6c55,C.,+91-********23
B1023,SP0001,FK00034,6F213,2026-02-03 11:37:36.951,PENDING,OK,24B,829e4153f890a524,C.,+91-********24
B1024,SP0001,FK00056,AI115,2025-06-21 11:37:36.951,PENDING,OK,30F,e312f4b1f12c7a47,C.,+91-********25
B1025,SP0001,FK00043,SJ049,2026-03-18 11:37:36.951,PENDING,OK,1B,efd650f6d3ca8489,C.,+91-********26
B1026,SP0001,FK00016,AI058,2025-06-27 11:37:36.951,CONFIRMED,OK,32C,4c636171f83ab84d,C.,+91-********27
B1027,SP0001,FK00052,UK036,2025-07-25 11:37:36.951,CONFIRMED,OK,22A,9ca440bda3e8a039,C.,+91-********28
B1028,SP0001,FK00018,SJ239,2025-05-25 11:37:36.951,CANCELLED,OK,26E,198d491c68610159,C.,+91-********29
B1029,SP0001,FK00009,6F025,2025-06-06 11:37:36.951,CANCELLED,OK,19C,ede8e663710775b7,C.,+91-********30
B1030,SP0001,FK00040,6F236,2026-03-18 11:37:36.951,CANCELLED,OK,21E,ada2e2682d52cbff,C.,+91-********31
B1031,SP0001,FK00025,AI060,2025-11-16 11:37:36.951,CANCELLED,OK,1E,b3510d81bab60e79,C.,+91-********32
B1032,SP0001,FK00023,UK021,2025-09-03 11:37:36.951,CANCELLED,OK,18E,67c6c0d6bf58417e,C.,+91-********33
B1033,SP0001,FK00030,UK026,2025-05-06 11:37:36.951,UNKNOWN,IMPUTED_UNKNOWN_STATUS,19A,672590dbd1a38e2e,C.,+91-********34
B1034,SP0001,FK00048,SJ179,2025-12-31 11:37:36.951,CONFIRMED,OK,22F,b7558ac0b96d396b,C.,+91-********35
B1035,SP0001,FK00010,6F251,2025-08-21 11:37:36.951,PENDING,OK,11D,0cd9a09732fa397d,C.,+91-********36
B1036,SP0001,FK00033,SJ149,2025-11-24 11:37:36.951,PENDING,OK,5B,51087947c2e3c884,C.,+91-********37
B1037,SP0001,FK00046,AI188,2026-03-20 11:37:36.951,PENDING,OK,33E,274d2e1555a2f7c6,C.,+91-********38
B1038,SP0001,FK00027,SJ093,2026-01-01 11:37:36.951,PENDING,OK,12D,41eaa47f555f8d27,C.,+91-********39
B1039,SP0001,FK00026,SJ205,2025-08-21 11:37:36.951,CONFIRMED,OK,11E,734e81f904a83d06,C.,+91-********40
B1040,SP0001,FK00019,6F099,2025-08-08 11:37:36.951,CONFIRMED,OK,26B,38d63e0a7499ee35,C.,+91-********41
B1041,SP0043,FK00060,UK176,2025-05-28 11:37:36.951,CONFIRMED,OK,25C,89202fc753f1bf41,C.,+91-********42
B1042,SP0001,FK00035,UK200,2025-12-02 11:37:36.951,CANCELLED,OK,24F,aa59ec699e347d32,C.,+91-********43
B1043,SP0001,FK00028,6F195,2025-11-22 11:37:36.951,CANCELLED,OK,8E,bc9ee84f3e1188fc,C.,+91-********44
B1044,SP0001,FK00031,6F174,2026-04-12 11:37:36.951,PENDING,OK,16C,485266a7196158a6,C.,+91-********45
B1045,SP0059,FK00036,SJ214,2026-03-19 11:37:36.951,UNKNOWN,IMPUTED_UNKNOWN_STATUS,18C,5e0e7abb93527d9c,C.,+91-********46
B1046,SP0001,FK00041,UK059,2025-10-14 11:37:36.951,CONFIRMED,OK,2C,69bbc2dccef29f4e,C.,+91-********47
B1047,SP0001,FK00054,6F151,2025-12-29 11:37:36.951,PENDING,OK,7C,3590ffee29571ea4,C.,+91-********48
B1048,SP0001,FK00066,SJ236,2025-09-19 11:37:36.951,PENDING,OK,18C,81aa533835b0fd57,C.,+91-********49
B1049,SP0074,FK00039,SJ153,2025-07-28 11:37:36.951,UNKNOWN,IMPUTED_UNKNOWN_STATUS,3C,ab6d6f7b942c6dc3,C.,+91-********50
B1050,SP0001,FK00045,AI220,2026-01-15 11:37:36.951,PENDING,OK,7D,ec8aeb0dda52214f,C.,+91-********51
B1051,SP0001,FK00051,6F028,2025-07-05 11:37:36.951,CANCELLED,OK,16A,ed943ab089f551a7,C.,+91-********52
B1052,SP0134,FK00058,UK209,2025-12-30 11:37:36.951,CANCELLED,OK,33B,74fb77a9e8eed038,C.,+91-********53
B1053,SP0001,FK00061,UK216,2026-04-01 11:37:36.951,PENDING,OK,28B,4de89538cc38afc1,C.,+91-********54
B1054,SP0001,FK00057,AI132,2026-04-11 11:37:36.951,CANCELLED,OK,19C,c7139fad5f89f6f2,C.,+91-********55
B1055,SP0001,FK00065,6F012,2025-10-14 11:37:36.951,CANCELLED,OK,13F,bcc289627e9978a5,C.,+91-********56
B1056,SP0001,FK00076,UK173,2026-03-24 11:37:36.951,CANCELLED,OK,15B,0dd8b7ffdf17c214,C.,+91-********57
B1057,SP0001,FK00037,SJ047,2025-08-20 11:37:36.951,CANCELLED,OK,14F,225c5f326535cb26,C.,+91-********58
B1058,SP0001,FK00059,SJ043,2025-12-07 11:37:36.951,PENDING,OK,8C,7feac76d42ba2fa8,C.,+91-********59
B1059,SP0130,FK00055,UK140,2026-01-03 11:37:36.951,CONFIRMED,OK,23B,8c522f8c2d06e63a,C.,+91-********60
B1060,SP0068,FK00044,6F086,2025-12-30 11:37:36.951,CONFIRMED,OK,11A,bdc2dd47c9ae6807,C.,+91-********61
B1061,SP0006,FK00047,6F114,2026-04-05 11:37:36.951,CANCELLED,OK,19C,e466c47fdc4b7f5a,C.,+91-********62
B1062,SP0001,FK00078,UK153,2025-06-12 11:37:36.951,CANCELLED,OK,15D,71665838f8997d8a,C.,+91-********63
B1063,SP0001,FK00067,6F149,2025-05-19 11:37:36.951,CANCELLED,OK,9A,48665ad7ad2e29c4,C.,+91-********64
B1064,SP0001,FK00063,UK145,2025-09-14 11:37:36.951,CONFIRMED,OK,24E,5b7b142d1a90f934,C.,+91-********65
B1065,SP0001,FK00069,UK010,2026-03-06 11:37:36.951,CANCELLED,OK,7B,431a4a03553dde76,C.,+91-********66
B1066,SP0001,FK00050,SJ003,2025-11-05 11:37:36.951,PENDING,OK,1B,484daed9a845208a,C.,+91-********67
B1067,SP0001,FK00053,SJ160,2025-07-23 11:37:36.951,PENDING,OK,7F,83db90f2e7bfdd1a,C.,+91-********68
B1068,SP0001,FK00089,UK224,2025-11-22 11:37:36.951,PENDING,OK,23A,14d5bfd4da8997ef,C.,+91-********69
B1069,SP0083,FK00073,UK152,2025-08-02 11:37:36.951,CONFIRMED,OK,16E,a93542be5616b455,C.,+91-********70
B1071,SP0002,FK00070,UK215,2025-12-21 11:37:36.951,CANCELLED,OK,15F,bed004f208843573,C.,+91-********71
B1072,SP0001,FK00094,UK089,2025-08-10 11:37:36.951,CANCELLED,OK,18F,3c3e2fedfd324af5,C.,+91-********72
B1075,SP0001,FK00096,UK131,2026-01-03 11:37:36.951,CONFIRMED,OK,2F,89cf9766d85ac90b,C.,+91-********73
B1076,SP0105,FK00080,UK055,2025-05-04 11:37:36.951,CONFIRMED,OK,12B,c328fae6ef9a3a8b,C.,+91-********74
B1077,SP0001,FK00081,UK181,2025-05-03 11:37:36.951,PENDING,OK,3A,c8a806f91da83c9c,C.,+91-********75
B1080,SP0001,FK00072,SJ023,2025-06-05 11:37:36.951,CONFIRMED,OK,22D,78d5285c28ae9f97,C.,+91-********76
B1081,SP0001,FK00074,SJ202,2025-11-13 11:37:36.951,CANCELLED,OK,29C,2a4788c984e68566,C.,+91-********77
B1082,SP0001,FK00097,SJ150,2025-09-09 11:37:36.951,CANCELLED,OK,30A,9fa82622d66bf651,C.,+91-********78
B1083,SP0001,FK00071,SJ116,2025-05-12 11:37:36.951,CANCELLED,OK,9A,649a2cacfc189482,C.,+91-********79
B1084,SP0001,FK00064,6F270,2025-06-14 11:37:36.951,PENDING,OK,16E,917268966bb8984d,C.,+91-********80
B1085,SP0122,FK00062,UK150,2026-03-24 11:37:36.951,PENDING,OK,12A,8eda52f1e8519cc3,C.,+91-********81
B1086,SP0001,FK00085,SJ237,2026-02-16 11:37:36.951,CONFIRMED,OK,5D,31cafd6909aa4a75,C.,+91-********82
B1087,SP0001,FK00092,AI221,2025-05-08 11:37:36.951,CANCELLED,OK,2F,47ecdd6d8d8f1b5f,C.,+91-********83
B1088,SP0001,FK00077,SJ081,2026-03-25 11:37:36.951,PENDING,OK,31A,2f4de196c27d0729,C.,+91-********84
B1090,SP0001,FK00083,SJ068,2025-05-16 11:37:36.951,PENDING,OK,31C,906cb1de9f50f03e,C.,+91-********85
B1091,SP0001,FK00075,6F043,2025-08-18 11:37:36.951,PENDING,OK,25D,a382d62997522719,C.,+91-********86
B1092,SP0047,FK00079,UK187,2026-03-18 11:37:36.951,CONFIRMED,OK,16D,c3dda24d1989d013,C.,+91-********87
B1093,SP0001,FK00082,UK074,2025-05-11 11:37:36.951,CONFIRMED,OK,25E,99bf0bbcc2ac88d7,C.,+91-********88
