booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone
B1000,SP0001,AI192,2025-06-14 11:37:36.951,CANCELLED,SAMPLEPASS00001,3D,Contact001 Sample,+91-9100000001
B1001,SP0001,6F026,2025-11-02 11:37:36.951,CANCELLED,SAMPLEPASS00002,18A,Contact002 Sample,+91-9100000002
B1002,SP0085,SJ010,2025-08-25 11:37:36.951,CANCELLED,SAMPLEPASS00003,30C,Contact003 Sample,+91-9100000003
B1003,SP0001,AI069,2025-12-30 11:37:36.951,CONFIRMED,SAMPLEPASS00004,33A,Contact004 Sample,+91-9100000004
B1004,SP0001,UK003,2025-10-02 11:37:36.951,PENDING,SAMPLEPASS00005,25C,Contact005 Sample,+91-9100000005
B1005,SP0001,AI048,2025-08-31 11:37:36.951,CONFIRMED,SAMPLEPASS00006,13D,Contact006 Sample,+91-9100000006
B1006,SP0001,AI140,2025-06-29 11:37:36.951,CANCELLED,SAMPLEPASS00007,17F,Contact007 Sample,+91-9100000007
B1007,SP0001,UK167,2026-03-12 11:37:36.951,CONFIRMED,SAMPLEPASS00008,22E,Contact008 Sample,+91-9100000008
B1008,SP0001,AI245,2025-09-07 11:37:36.951,PENDING,SAMPLEPASS00009,34F,Contact009 Sample,+91-9100000009
B1009,SP0001,SJ158,2025-04-28 11:37:36.951,CANCELLED,SAMPLEPASS00010,33C,Contact010 Sample,+91-9100000010
B1010,SP0001,AI155,2025-11-24 11:37:36.951,CONFIRMED,SAMPLEPASS00011,15B,Contact011 Sample,+91-9100000011
B1011,SP0094,AI179,2025-10-25 11:37:36.951,CONFIRMED,SAMPLEPASS00012,22C,Contact012 Sample,+91-9100000012
B1012,SP0001,AI137,2025-08-15 11:37:36.951,PENDING,SAMPLEPASS00013,28B,Contact013 Sample,+91-9100000013
B1013,SP0001,SJ001,2025-07-20 11:37:36.951,CONFIRMED,SAMPLEPASS00014,26E,Contact014 Sample,+91-9100000014
B1014,SP0001,SJ172,2025-09-15 11:37:36.951,PENDING,SAMPLEPASS00015,21E,Contact015 Sample,+91-9100000015
B1015,SP0001,UK094,2025-10-21 11:37:36.951,,SAMPLEPASS00016,6F,Contact016 Sample,+91-9100000016
B1016,SP0001,UK027,2026-01-13 11:37:36.951,CANCELLED,SAMPLEPASS00017,6A,Contact017 Sample,+91-9100000017
B1017,SP0166,UK067,2026-04-04 11:37:36.951,CONFIRMED,SAMPLEPASS00018,13B,Contact018 Sample,+91-9100000018
